Zone,District,Year,Month,Capture Rate-Paper ,Capture Rate-MGP,Capture Rate-Total
Brooklyn North,BKN01,2019,4,44.91,43.03,44.15
Brooklyn North,BKN02,2019,4,34.19,57.95,41.21
Brooklyn North,BKN03,2019,4,33.52,44.92,38.16
Brooklyn North,BKN04,2019,4,35.21,68.51,48.75
Brooklyn North,BKN05,2019,4,22.27,45.05,31.53
Brooklyn North,BKN08,2019,4,44.48,59.40,50.55
Brooklyn North,BKN09,2019,4,33.95,47.86,39.24
Brooklyn North,BKN16,2019,4,20.29,35.25,26.37
Brooklyn North,BKN17,2019,4,28.45,,40.72
Brooklyn South,BKS06,2019,4,46.44,82.99,57.24
Brooklyn South,BKS07,2019,4,48.03,72.46,57.31
Brooklyn South,BKS10,2019,4,52.58,75.45,61.27
Brooklyn South,BKS11,2019,4,45.00,64.77,52.51
Brooklyn South,BKS12,2019,4,47.62,41.97,45.32
Brooklyn South,BKS13,2019,4,40.96,51.49,45.56
Brooklyn South,BKS14,2019,4,38.59,57.63,45.12
Brooklyn South,BKS15,2019,4,46.60,63.12,52.87
Brooklyn South,BKS18,2019,4,38.54,71.63,50.30
Bronx,BX01,2019,4,19.63,27.89,23.24
Bronx,BX02,2019,4,33.16,60.18,44.96
Bronx,BX03,2019,4,25.02,43.13,32.93
Bronx,BX04,2019,4,29.98,53.29,40.16
Bronx,BX05,2019,4,27.32,52.56,38.34
Bronx,BX06,2019,4,36.42,51.86,43.16
Bronx,BX07,2019,4,33.42,69.41,
Bronx,BX08,2019,4,43.73,84.10,57.57
Bronx,BX09,2019,4,21.99,45.74,31.64
Bronx,BX10,2019,4,38.11,84.80,55.85
Bronx,BX11,2019,4,34.56,61.09,44.64
Bronx,BX12,2019,4,34.01,82.41,52.40
Manhattan,MN01,2019,4,46.19,78.93,54.07
Manhattan,MN02,2019,4,39.89,88.19,51.52
Manhattan,MN03,2019,4,40.99,44.87,42.68
Manhattan,MN04,2019,4,34.23,78.86,44.98
Manhattan,MN05,2019,4,34.23,66.52,42.01
Manhattan,MN06,2019,4,35.35,79.22,45.92
Manhattan,MN07,2019,4,41.84,86.63,52.63
Manhattan,MN08,2019,4,42.90,83.64,52.71
Manhattan,MN09,2019,4,55.79,53.43,54.76
Manhattan,MN10,2019,4,40.03,58.84,48.25
Manhattan,MN11,2019,4,39.94,32.91,36.87
Manhattan,MN12,2019,4,43.85,62.05,51.80
Queens East,QE07,2019,4,47.37,70.11,56.00
Queens East,QE08,2019,4,27.81,56.20,36.20
Queens East,QE10,2019,4,41.33,96.09,60.80
Queens East,QE11,2019,4,59.76,96.19,72.72
Queens East,QE12,2019,4,35.03,68.63,50.45
Queens East,QE13,2019,4,36.48,97.59,58.21
Queens East,QE14,2019,4,32.92,45.45,37.68
Queens West,QW01,2019,4,49.10,78.55,60.29
Queens West,QW02,2019,4,48.98,74.36,58.62
Queens West,QW03,2019,4,30.03,62.46,42.35
Queens West,QW04,2019,4,33.38,65.47,45.57
Queens West,QW05,2019,4,45.56,86.93,61.27
Queens West,QW06,2019,4,28.54,78.09,40.47
Queens West,QW09,2019,4,39.72,78.87,54.59
Staten Island,SI01,2019,4,45.25,85.58,59.59
Staten Island,SI02,2019,4,50.63,86.65,63.44
Staten Island,SI03,2019,4,52.11,90.59,65.79
Brooklyn North,BKN01,2019,8,51.19,44.82,48.28
Brooklyn North,BKN02,2019,8,32.51,55.95,39.42
Brooklyn North,BKN03,2019,8,35.61,40.02,37.62
Brooklyn North,BKN04,2019,8,37.50,60.13,47.82
Brooklyn North,BKN05,2019,8,23.49,38.92,30.53
Brooklyn North,BKN08,2019,8,46.16,49.88,47.86
Brooklyn North,BKN09,2019,8,33.53,42.28,37.01
Brooklyn North,BKN16,2019,8,21.87,31.96,26.47
Brooklyn North,BKN17,2019,8,27.63,55.96,38.90
Brooklyn South,BKS06,2019,8,43.13,76.33,52.92
Brooklyn South,BKS07,2019,8,44.70,65.85,53.12
Brooklyn South,BKS10,2019,8,53.01,70.44,59.95
Brooklyn South,BKS11,2019,8,44.74,56.68,49.49
Brooklyn South,BKS12,2019,8,50.78,38.29,45.08
Brooklyn South,BKS13,2019,8,38.04,50.73,43.49
Brooklyn South,BKS14,2019,8,32.72,52.48,39.14
Brooklyn South,BKS15,2019,8,46.81,57.65,51.12
Brooklyn South,BKS18,2019,8,31.24,61.06,41.81
Bronx,BX01,2019,8,17.30,26.80,21.38
Bronx,BX02,2019,8,30.53,55.22,41.12
Bronx,BX03,2019,8,22.63,37.77,29.12
Bronx,BX04,2019,8,26.74,50.41,36.89
Bronx,BX05,2019,8,24.04,49.80,35.09
Bronx,BX06,2019,8,34.56,44.94,39.02
Bronx,BX07,2019,8,31.81,64.07,45.64
Bronx,BX08,2019,8,39.75,81.47,53.30
Bronx,BX09,2019,8,22.90,37.35,29.49
Bronx,BX10,2019,8,38.86,73.26,52.55
Bronx,BX11,2019,8,35.07,53.47,42.39
Bronx,BX12,2019,8,33.69,72.17,49.00
Manhattan,MN01,2019,8,44.30,60.49,48.66
Manhattan,MN02,2019,8,39.16,70.66,47.64
Manhattan,MN03,2019,8,38.57,41.44,39.80
Manhattan,MN04,2019,8,33.00,67.28,42.24
Manhattan,MN05,2019,8,31.67,51.66,37.05
Manhattan,MN06,2019,8,34.30,61.44,41.61
Manhattan,MN07,2019,8,41.41,70.76,49.31
Manhattan,MN08,2019,8,42.18,67.54,49.01
Manhattan,MN09,2019,8,56.53,49.17,53.37
Manhattan,MN10,2019,8,35.49,54.49,43.64
Manhattan,MN11,2019,8,41.18,31.54,37.05
Manhattan,MN12,2019,8,41.46,55.98,47.69
Queens East,QE07,2019,8,46.09,58.40,50.99
Queens East,QE08,2019,8,26.82,49.62,33.54
Queens East,QE10,2019,8,34.39,77.49,49.67
Queens East,QE11,2019,8,52.04,78.32,61.36
Queens East,QE12,2019,8,31.19,57.15,43.69
Queens East,QE13,2019,8,32.14,81.29,49.57
Queens East,QE14,2019,8,31.11,41.85,35.38
Queens West,QW01,2019,8,50.25,68.20,57.39
Queens West,QW02,2019,8,50.04,67.12,56.83
Queens West,QW03,2019,8,30.43,56.31,40.73
Queens West,QW04,2019,8,33.91,57.00,43.10
Queens West,QW05,2019,8,46.00,79.66,59.40
Queens West,QW06,2019,8,30.13,64.82,39.47
Queens West,QW09,2019,8,39.64,70.71,52.00
Staten Island,SI01,2019,8,38.75,69.43,49.63
Staten Island,SI02,2019,8,42.57,67.62,51.45
Staten Island,SI03,2019,8,45.37,76.08,56.25
Brooklyn North,BKN01,2019,12,52.27,46.84,50.05
Brooklyn North,BKN02,2019,12,34.52,58.04,41.20
Brooklyn North,BKN03,2019,12,36.42,41.99,38.70
Brooklyn North,BKN04,2019,12,39.36,69.02,51.51
Brooklyn North,BKN05,2019,12,26.65,43.41,33.51
Brooklyn North,BKN08,2019,12,49.72,54.97,51.87
Brooklyn North,BKN09,2019,12,32.23,46.83,37.55
Brooklyn North,BKN16,2019,12,25.92,39.05,31.30
Brooklyn North,BKN17,2019,12,28.94,59.90,40.21
Brooklyn South,BKS06,2019,12,48.58,79.48,57.35
Brooklyn South,BKS07,2019,12,44.90,68.81,53.60
