Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Brooklyn North,BKN01,10,2019,4,14.69,1.17
Brooklyn North,BKN02,10,2019,4,19.95,1.30
Brooklyn North,BKN03,10,2019,4,12.16,1.09
Brooklyn North,BKN04,10,2019,4,15.54,1.19
Brooklyn North,BKN05,10,2019,4,10.05,1.00
Brooklyn North,BKN08,10,2019,4,16.45,1.22
Brooklyn North,BKN09,10,2019,4,13.97,1.15
Brooklyn North,BKN16,10,2019,4,,
Brooklyn North,BKN17,10,2019,4,13.35,1.13
Brooklyn South,BKS06,10,2019,4,28.95,1.46
Brooklyn South,BKS07,10,2019,4,20.38,1.31
Brooklyn South,BKS10,10,2019,4,23.77,1.38
Brooklyn South,BKS11,10,2019,4,18.38,1.26
Brooklyn South,BKS12,10,2019,4,14.94,1.17
Brooklyn South,BKS13,10,2019,4,14.35,1.16
Brooklyn South,BKS14,10,2019,4,15.00,1.18
Brooklyn South,BKS15,10,2019,4,18.66,1.27
Brooklyn South,BKS18,10,2019,4,14.73,1.17
Bronx,BX01,10,2019,4,7.15,0.85
Bronx,BX02,10,2019,4,13.39,1.13
Bronx,BX03,10,2019,4,99.80,2.00
Bronx,BX04,10,2019,4,12.25,1.09
Bronx,BX05,10,2019,4,11.42,1.06
Bronx,BX06,10,2019,4,14.13,1.15
Bronx,BX07,10,2019,4,14.63,1.17
Bronx,BX08,10,2019,4,21.16,1.33
Bronx,BX09,10,2019,4,10.09,1.00
Bronx,BX10,10,2019,4,20.98,1.32
Bronx,BX11,10,2019,4,16.66,1.22
Bronx,BX12,10,2019,4,20.58,1.31
Manhattan,MN01,10,2019,4,28.02,1.45
Manhattan,MN02,10,2019,4,26.71,1.43
Manhattan,MN03,10,2019,4,14.11,1.15
Manhattan,MN04,10,2019,4,23.57,1.37
Manhattan,MN05,10,2019,4,21.14,1.33
Manhattan,MN06,10,2019,4,24.00,1.38
Manhattan,MN07,10,2019,4,27.51,1.44
Manhattan,MN08,10,2019,4,26.74,1.43
Manhattan,MN09,10,2019,4,18.50,1.27
Manhattan,MN10,10,2019,4,14.65,1.17
Manhattan,MN11,10,2019,4,11.34,1.05
Manhattan,MN12,10,2019,4,16.39,1.21
Queens East,QE07,10,2019,4,20.23,1.31
Queens East,QE08,10,2019,4,16.53,1.22
Queens East,QE10,10,2019,4,18.98,1.28
Queens East,QE11,10,2019,4,24.19,1.38
Queens East,QE12,10,2019,4,13.87,1.14
Queens East,QE13,10,2019,4,20.04,1.30
Queens East,QE14,10,2019,4,14.00,1.15
Queens West,QW01,10,2019,4,19.77,1.30
Queens West,QW02,10,2019,4,21.04,1.32
Queens West,QW03,10,2019,4,13.89,1.14
Queens West,QW04,10,2019,4,14.94,1.17
Queens West,QW05,10,2019,4,23.29,1.37
Queens West,QW06,10,2019,4,20.37,1.31
Queens West,QW09,10,2019,4,21.85,1.34
Staten Island,SI01,10,2019,4,20.18,1.31
Staten Island,SI02,10,2019,4,19.34,1.29
Staten Island,SI03,10,2019,4,19.53,1.29
Brooklyn North,BKN01,2,2019,8,16.65,1.22
Brooklyn North,BKN02,2,2019,8,19.36,1.29
Brooklyn North,BKN03,2,2019,8,12.32,1.09
Brooklyn North,BKN04,2,2019,8,15.66,1.19
Brooklyn North,BKN05,2,2019,8,9.99,1.00
Brooklyn North,BKN08,2,2019,8,15.67,1.20
Brooklyn North,BKN09,2,2019,8,12.70,1.10
Brooklyn North,BKN16,2,2019,8,9.68,0.99
Brooklyn North,BKN17,2,2019,8,13.35,1.13
Brooklyn South,BKS06,2,2019,8,26.70,1.43
Brooklyn South,BKS07,2,2019,8,19.95,1.30
Brooklyn South,BKS10,2,2019,8,22.32,1.35
Brooklyn South,BKS11,2,2019,8,18.49,1.27
Brooklyn South,BKS12,2,2019,8,15.68,1.20
Brooklyn South,BKS13,2,2019,8,14.49,1.16
Brooklyn South,BKS14,2,2019,8,14.21,1.15
Brooklyn South,BKS15,2,2019,8,19.22,1.28
Brooklyn South,BKS18,2,2019,8,14.37,1.16
Bronx,BX01,2,2019,8,6.80,0.83
Bronx,BX02,2,2019,8,12.86,1.11
Bronx,BX03,2,2019,8,9.10,0.96
