Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Brooklyn North,BKN01,10,2019,4,14.6870926,1.166935833
Brooklyn North,BKN02,10,2019,4,19.95018146,1.29994685
Brooklyn North,BKN03,10,2019,4,12.16416133,1.085082171
Brooklyn North,BKN04,10,2019,4,15.54180313,1.191501403
Brooklyn North,BKN05,10,2019,4,10.05184541,1.002245801
Brooklyn North,BKN08,10,2019,4,16.44838382,1.216123232
Brooklyn North,BKN09,10,2019,4,13.96568009,1.145062089
Brooklyn North,BKN16,10,2019,4,,
Brooklyn North,BKN17,10,2019,4,13.353184,1.125584833
Brooklyn South,BKS06,10,2019,4,28.95129746,1.461668032
Brooklyn South,BKS07,10,2019,4,20.37848342,1.30917186
Brooklyn South,BKS10,10,2019,4,23.76882901,1.376007786
Brooklyn South,BKS11,10,2019,4,18.38334714,1.264424588
Brooklyn South,BKS12,10,2019,4,14.9388304,1.174316597
Brooklyn South,BKS13,10,2019,4,14.34817417,1.15679664
Brooklyn South,BKS14,10,2019,4,14.99616789,1.175980294
Brooklyn South,BKS15,10,2019,4,18.65530423,1.270802336
Brooklyn South,BKS18,10,2019,4,14.7319555,1.168260398
Bronx,BX01,10,2019,4,7.146499015,0.854093338
Bronx,BX02,10,2019,4,13.38783581,1.126710377
Bronx,BX03,10,2019,4,99.80467332,1.999150877
Bronx,BX04,10,2019,4,12.25304098,1.088243886
Bronx,BX05,10,2019,4,11.41526229,1.057485895
Bronx,BX06,10,2019,4,14.12831804,1.150090463
Bronx,BX07,10,2019,4,14.63087044,1.165270165
Bronx,BX08,10,2019,4,21.16178488,1.325552295
Bronx,BX09,10,2019,4,10.0878444,1.003798375
Bronx,BX10,10,2019,4,20.9783161,1.321770625
Bronx,BX11,10,2019,4,16.65947043,1.221661192
Bronx,BX12,10,2019,4,20.58390492,1.313527767
Manhattan,MN01,10,2019,4,28.02464167,1.447540068
Manhattan,MN02,10,2019,4,26.7143806,1.426745109
Manhattan,MN03,10,2019,4,14.10640745,1.149416424
Manhattan,MN04,10,2019,4,23.56723666,1.372308663
Manhattan,MN05,10,2019,4,21.13970765,1.325098977
Manhattan,MN06,10,2019,4,24.00124055,1.38023369
Manhattan,MN07,10,2019,4,27.51218944,1.439525153
Manhattan,MN08,10,2019,4,26.74045542,1.4271688
Manhattan,MN09,10,2019,4,18.50407586,1.2672674
Manhattan,MN10,10,2019,4,14.64921458,1.165814341
Manhattan,MN11,10,2019,4,11.33699896,1.054498107
Manhattan,MN12,10,2019,4,16.38747342,1.214512
Queens East,QE07,10,2019,4,20.22709972,1.305933616
Queens East,QE08,10,2019,4,16.52762226,1.218210378
Queens East,QE10,10,2019,4,18.9774769,1.278238471
Queens East,QE11,10,2019,4,24.19268786,1.383684122
Queens East,QE12,10,2019,4,13.86667538,1.141972349
Queens East,QE13,10,2019,4,20.04082483,1.301915592
Queens East,QE14,10,2019,4,14.00264421,1.146210054
Queens West,QW01,10,2019,4,19.76973632,1.296000877
Queens West,QW02,10,2019,4,21.0434513,1.323116969
Queens West,QW03,10,2019,4,13.88663534,1.142597031
Queens West,QW04,10,2019,4,14.94322209,1.174444251
Queens West,QW05,10,2019,4,23.29160817,1.367199475
Queens West,QW06,10,2019,4,20.36748583,1.308937423
Queens West,QW09,10,2019,4,21.84574048,1.33936677
